Stardust, 2007, 10 Aug 2007, English, 127, Jane Goldman (screenplay)  Matthew Vaughn (screenplay)  Neil Gaiman (novel), Matthew Vaughn, 7.7, PG-13, tt0486655, 193841, Adventure  Family  Fantasy, 4 wins & 5 nominations.
Last Stand of the 300, 2007, N/A, English, 91, Alexander Emmert  Matt Koed  David Padrusch, David Padrusch, 7.8, N/A, tt0892737, 698, Documentary, N/A
Hot Fuzz, 2007, 20 Apr 2007, English, 121, Edgar Wright  Simon Pegg, Edgar Wright, 7.9, R, tt0425112, 307441, Comedy, 2 wins & 5 nominations.
No Country for Old Men, 2007, 21 Nov 2007, English, 122, Joel Coen (screenplay)  Ethan Coen (screenplay)  Cormac McCarthy (novel), Ethan Coen  Joel Coen, 8.1, R, tt0477348, 521308, Crime  Drama  Thriller, Won 4 Oscars. Another 161 wins & 92 nominations.
Into the Wild, 2007, 19 Oct 2007, English, 148, Sean Penn (screenplay)  Jon Krakauer (book), Sean Penn, 8.2, R, tt0758758, 356883, Adventure  Biography  Drama, Nominated for 2 Oscars. Another 26 wins & 84 nominations.
Transformers, 2007, 3 Jul 2007, English, 144, Roberto Orci (screenplay)  Alex Kurtzman (screenplay)  John Rogers (story)  Roberto Orci (story)  Alex Kurtzman (story), Michael Bay, 7.2, PG-13, tt0418279, 459860, Action  Adventure  Sci-Fi, Nominated for 3 Oscars. Another 15 wins & 35 nominations.
Fantastic Four: Rise of the Silver Surfer, 2007, 15 Jun 2007, English, N/A, Flint Dille  John Zuur Platten, N/A, 5.7, N/A, tt1027810, 515, Action, N/A
Spider-Man 3, 2007, 4 May 2007, English, 139, Sam Raimi (screenplay)  Ivan Raimi (screenplay)  Alvin Sargent (screenplay)  Sam Raimi (screen story)  Ivan Raimi (screen story)  Stan Lee (Marvel comic book)  Steve Ditko (Marvel comic book), Sam Raimi, 6.2, PG-13, tt0413300, 318942, Action  Adventure, Nominated for 1 BAFTA Film Award. Another 1 win & 29 nominations.
Hairspray, 2007, 20 Jul 2007, English, 117, Leslie Dixon (screenplay)  John Waters  Mark O'Donnell (musical play)  Thomas Meehan (musical play), Adam Shankman, 6.8, PG, tt0427327, 88581, Comedy  Musical  Romance, Nominated for 3 Golden Globes. Another 18 wins & 32 nominations.
Zodiac, 2007, 2 Mar 2007, English, 157, James Vanderbilt (screenplay)  Robert Graysmith (book), David Fincher, 7.7, R, tt0443706, 251357, Crime  Drama  Mystery, 5 wins & 46 nominations.
There Will Be Blood, 2007, 25 Jan 2008, English, 158, Paul Thomas Anderson (screenplay)  Upton Sinclair (novel), Paul Thomas Anderson, 8.1, R, tt0469494, 320052, Drama, Won 2 Oscars. Another 114 wins & 94 nominations.
Superbad, 2007, 17 Aug 2007, English, 113, Seth Rogen  Evan Goldberg, Greg Mottola, 7.6, R, tt0829482, 379463, Comedy, 9 wins & 20 nominations.
1408, 2007, 22 Jun 2007, English, 104, Matt Greenberg (screenplay)  Scott Alexander (screenplay)  Larry Karaszewski (screenplay)  Stephen King (short story), Mikael Håfström, 6.8, PG-13, tt0450385, 189335, Horror  Mystery, 4 wins & 6 nominations.
I Am Legend, 2007, 14 Dec 2007, English, 101, Mark Protosevich (screenplay)  Akiva Goldsman (screenplay)  Richard Matheson (novel)  John William Corrington  Joyce Hooper Corrington, Francis Lawrence, 7.2, PG-13, tt0480249, 454371, Drama  Sci-Fi  Thriller, 9 wins & 20 nominations.
