Kick-Ass, 2010, 16 Apr 2010, English, 117, Jane Goldman (screenplay)  Matthew Vaughn (screenplay)  Mark Millar (comic book)  John Romita Jr. (comic book), Matthew Vaughn, 7.7, R, tt1250777, 383828, Action  Comedy, 15 wins & 55 nominations.
Iron Man 2, 2010, 7 May 2010, English, 124, Justin Theroux (screenplay)  Stan Lee (Marvel comic book)  Don Heck (Marvel comic book)  Larry Lieber (Marvel comic book)  Jack Kirby (Marvel comic book), Jon Favreau, 7.1, PG-13, tt1228705, 432269, Action  Adventure  Sci-Fi, Nominated for 1 Oscar. Another 6 wins & 38 nominations.
Inception, 2010, 16 Jul 2010, English, 148, Christopher Nolan, Christopher Nolan, 8.8, PG-13, tt1375666, 1216705, Action  Mystery  Sci-Fi, Won 4 Oscars. Another 148 wins & 170 nominations.
Black Swan, 2010, 17 Dec 2010, English, 108, Mark Heyman (screenplay)  Andres Heinz (screenplay)  John J. McLaughlin (screenplay)  Andres Heinz (story), Darren Aronofsky, 8.0, R, tt0947798, 486387, Drama  Mystery  Thriller, Won 1 Oscar. Another 100 wins & 204 nominations.
Shutter Island, 2010, 19 Feb 2010, English, 138, Laeta Kalogridis (screenplay)  Dennis Lehane (novel), Martin Scorsese, 8.1, R, tt1130884, 635936, Mystery  Thriller, 7 wins & 51 nominations.
Easy A, 2010, 17 Sep 2010, English, 92, Bert V. Royal, Will Gluck, 7.1, PG-13, tt1282140, 233928, Comedy  Romance, Nominated for 1 Golden Globe. Another 9 wins & 17 nominations.
Percy Jackson & the Olympians: The Lightning Thief, 2010, 12 Feb 2010, English, 118, Craig Titley (screenplay)  Rick Riordan (novel), Chris Columbus, 5.9, PG, tt0814255, 123981, Adventure  Family  Fantasy, 11 nominations.
TRON: Legacy, 2010, 17 Dec 2010, English, 125, Edward Kitsis (screenplay)  Adam Horowitz (screenplay)  Edward Kitsis (story)  Adam Horowitz (story)  Brian Klugman (story)  Lee Sternthal (story)  Steven Lisberger (characters)  Bonnie MacBird (characters), Joseph Kosinski, 6.8, PG, tt1104001, 239559, Action  Adventure  Sci-Fi, Nominated for 1 Oscar. Another 10 wins & 39 nominations.
The Social Network, 2010, 1 Oct 2010, English, 120, Aaron Sorkin (screenplay)  Ben Mezrich (book), David Fincher, 7.8, PG-13, tt1285016, 409073, Biography  Drama, Won 3 Oscars. Another 163 wins & 131 nominations.
Resident Evil: Afterlife, 2010, 10 Sep 2010, English, 97, Paul W.S. Anderson, Paul W.S. Anderson, 5.9, R, tt1220634, 118845, Action  Adventure  Horror, 2 wins & 8 nominations.
Harry Potter and the Deathly Hallows: Part 1, 2010, 19 Nov 2010, English, 146, Steve Kloves (screenplay)  J.K. Rowling (novel), David Yates, 7.7, PG-13, tt0926084, 278643, Adventure  Family  Fantasy, Nominated for 2 Oscars. Another 13 wins & 48 nominations.
Despicable Me, 2010, 9 Jul 2010, English, 95, Cinco Paul (screenplay)  Ken Daurio (screenplay)  Sergio Pablos (story), Pierre Coffin  Chris Renaud, 7.7, PG, tt1323594, 314102, Animation  Comedy  Family, Nominated for 1 Golden Globe. Another 6 wins & 34 nominations.
