Captain America: The First Avenger, 2011, 22 Jul 2011, English, 124, Christopher Markus (screenplay)  Stephen McFeely (screenplay)  Joe Simon (comic books)  Jack Kirby (comic books), Joe Johnston, 6.8, PG-13, tt0458339, 391376, Action  Adventure  Sci-Fi, 3 wins & 40 nominations.
Thor, 2011, 6 May 2011, English, 115, Ashley Miller (screenplay)  Zack Stentz (screenplay)  Don Payne (screenplay)  J. Michael Straczynski (story)  Mark Protosevich (story)  Stan Lee (comic book)  Larry Lieber (comic book)  Jack Kirby (comic book), Kenneth Branagh, 7.0, PG-13, tt0800369, 433875, Action  Adventure  Fantasy, 5 wins & 28 nominations.
Warrior, 2011, 9 Sep 2011, English, 140, Gavin O'Connor (screenplay)  Anthony Tambakis (screenplay)  Cliff Dorfman (screenplay)  Gavin O'Connor (story)  Cliff Dorfman (story), Gavin O'Connor, 8.2, PG-13, tt1291584, 273554, Drama  Sport, Nominated for 1 Oscar. Another 3 wins & 15 nominations.
X-Men: First Class, 2011, 3 Jun 2011, English, 132, Ashley Miller (screenplay)  Zack Stentz (screenplay)  Jane Goldman (screenplay)  Matthew Vaughn (screenplay)  Sheldon Turner (story)  Bryan Singer (story), Matthew Vaughn, 7.8, PG-13, tt1270798, 434512, Action  Adventure  Sci-Fi, 16 wins & 31 nominations.
Harry Potter and the Deathly Hallows: Part 2, 2011, 15 Jul 2011, English, 130, Steve Kloves (screenplay)  J.K. Rowling (novel), David Yates, 8.1, PG-13, tt1201607, 441123, Adventure  Fantasy  Mystery, Nominated for 3 Oscars. Another 48 wins & 76 nominations.
Crazy Stupid Love: The Player Meets His Match, 2011, 1 Nov 2011, English, 6, N/A, N/A, N/A, N/A, tt2862584, N/A, Short  Comedy, N/A
Bridesmaids, 2011, 13 May 2011, English, 125, Kristen Wiig  Annie Mumolo, Paul Feig, 6.8, R, tt1478338, 193260, Comedy  Romance, Nominated for 2 Oscars. Another 24 wins & 56 nominations.
Super 8, 2011, 10 Jun 2011, English, 112, J.J. Abrams, J.J. Abrams, 7.1, PG-13, tt1650062, 261003, Mystery  Sci-Fi  Thriller, 11 wins & 54 nominations.
Sucker Punch, 2011, 25 Mar 2011, English, 110, Zack Snyder (screenplay)  Steve Shibuya (screenplay)  Zack Snyder (story), Zack Snyder, 6.1, PG-13, tt0978764, 179539, Action  Adventure  Fantasy, 1 win & 5 nominations.
Drive, 2011, 16 Sep 2011, English, 100, Hossein Amini (screenplay)  James Sallis (book), Nicolas Winding Refn, 7.8, R, tt0780504, 384423, Crime  Drama, Nominated for 1 Oscar. Another 78 wins & 124 nominations.
Pirates of the Caribbean: On Stranger Tides, 2011, 20 May 2011, English, 136, Ted Elliott (screenplay)  Terry Rossio (screenplay)  Ted Elliott (screen story)  Terry Rossio (screen story)  Ted Elliott (characters)  Terry Rossio (characters)  Stuart Beattie (characters)  Jay Wolpert (characters)  Tim Powers (novel), Rob Marshall, 6.7, PG-13, tt1298650, 313946, Action  Adventure  Fantasy, 2 wins & 29 nominations.
Just Go with It, 2011, 11 Feb 2011, English, 117, Allan Loeb (screenplay)  Timothy Dowling (screenplay)  I.A.L. Diamond (screenplay)  Abe Burrows (stage play)  Pierre Barillet (French play)  Jean-Pierre Grédy (French play), Dennis Dugan, 6.4, PG-13, tt1564367, 151113, Comedy  Romance, 5 wins & 11 nominations.
Green Lantern, 2011, 17 Jun 2011, English, 114, Greg Berlanti (screenplay)  Michael Green (screenplay)  Marc Guggenheim (screenplay)  Michael Goldenberg (screenplay)  Greg Berlanti (screen story)  Michael Green (screen story)  Marc Guggenheim (screen story), Martin Campbell, 5.7, PG-13, tt1133985, 197161, Action  Adventure  Sci-Fi, 1 win & 5 nominations.
Fast Five, 2011, 29 Apr 2011, English, 131, Chris Morgan  Gary Scott Thompson (characters), Justin Lin, 7.3, PG-13, tt1596343, 246734, Action  Crime  Thriller, 8 wins & 18 nominations.
The Help, 2011, 10 Aug 2011, English, 146, Tate Taylor (screenplay)  Kathryn Stockett (novel), Tate Taylor, 8.1, PG-13, tt1454029, 272668, Drama, Won 1 Oscar. Another 72 wins & 97 nominations.
The Girl with the Dragon Tattoo, 2011, 21 Dec 2011, English, 158, Steven Zaillian (screenplay)  Stieg Larsson (novel), David Fincher, 7.9, R, tt1568346, 291051, Crime  Drama  Mystery, Won 1 Oscar. Another 28 wins & 69 nominations.
In Time, 2011, 28 Oct 2011, English, 109, Andrew Niccol, Andrew Niccol, 6.7, PG-13, tt1637688, 262566, Action  Sci-Fi  Thriller, 2 nominations.
Immortals, 2011, 11 Nov 2011, English, 110, Charley Parlapanides  Vlas Parlapanides, Tarsem Singh, 6.1, R, tt1253864, 126787, Action  Drama  Fantasy, 1 win & 6 nominations.
Midnight in Paris, 2011, 10 Jun 2011, English, 94, Woody Allen, Woody Allen, 7.7, PG-13, tt1605783, 263466, Comedy  Romance, Won 1 Oscar. Another 24 wins & 79 nominations.
Limitless, 2011, 18 Mar 2011, English, 105, Leslie Dixon (screenplay)  Alan Glynn (novel), Neil Burger, 7.4, PG-13, tt1219289, 357671, Mystery  Sci-Fi  Thriller, 2 wins & 7 nominations.
I Am Number Four, 2011, 18 Feb 2011, English, 109, Alfred Gough (screenplay)  Miles Millar (screenplay)  Marti Noxon (screenplay)  Jobie Hughes (novel)  James Frey (novel), D.J. Caruso, 6.1, PG-13, tt1464540, 175624, Action  Adventure  Sci-Fi, 1 win & 1 nomination.
