The Dark Knight, 2008, 18 Jul 2008, English, 152, Jonathan Nolan (screenplay)  Christopher Nolan (screenplay)  Christopher Nolan (story)  David S. Goyer (story)  Bob Kane (characters), Christopher Nolan, 9.0, PG-13, tt0468569, 1415902, Action  Crime  Drama, Won 2 Oscars. Another 137 wins & 106 nominations.
The Incredible Hulk, 2008, 13 Jun 2008, English, 112, Zak Penn (screenplay)  Zak Penn (screen story), Louis Leterrier, 6.9, PG-13, tt0800080, 281809, Action  Adventure  Romance, 1 win & 5 nominations.
Iron Man, 2008, 2 May 2008, English, 126, Mark Fergus (screenplay)  Hawk Ostby (screenplay)  Art Marcum (screenplay)  Matt Holloway (screenplay)  Stan Lee (characters)  Don Heck (characters)  Larry Lieber (characters)  Jack Kirby (characters), Jon Favreau, 7.9, PG-13, tt0371746, 576710, Action  Adventure  Sci-Fi, Nominated for 2 Oscars. Another 18 wins & 51 nominations.
Twilight, 2008, 21 Nov 2008, English, 122, Melissa Rosenberg (screenplay)  Stephenie Meyer (novel), Catherine Hardwicke, 5.2, PG-13, tt1099212, 316826, Drama  Fantasy  Romance, 25 wins & 11 nominations.
Indiana Jones and the Kingdom of the Crystal Skull, 2008, 22 May 2008, English, 122, David Koepp (screenplay)  George Lucas (story)  Jeff Nathanson (story)  George Lucas (characters)  Philip Kaufman (characters), Steven Spielberg, 6.2, PG-13, tt0367882, 292075, Action  Adventure, Nominated for 1 BAFTA Film Award. Another 8 wins & 31 nominations.
The Boy in the Striped Pajamas, 2008, 28 Nov 2008, English, 94, John Boyne (novel)  Mark Herman (screenplay), Mark Herman, 7.8, PG-13, tt0914798, 110397, Drama  War, 7 wins & 7 nominations.
Wanted, 2008, 27 Jun 2008, English, 110, Michael Brandt (screenplay)  Derek Haas (screenplay)  Chris Morgan (screenplay)  Michael Brandt (story)  Derek Haas (story)  Mark Millar (comic book series)  J.G. Jones (comic book series), Timur Bekmambetov, 6.7, R, tt0493464, 271589, Action  Crime  Fantasy, Nominated for 2 Oscars. Another 3 wins & 15 nominations.
Tropic Thunder, 2008, 13 Aug 2008, English, 107, Justin Theroux (screenplay)  Ben Stiller (screenplay)  Etan Cohen (screenplay)  Ben Stiller (story)  Justin Theroux (story), Ben Stiller, 7.0, R, tt0942385, 274026, Action  Comedy, Nominated for 1 Oscar. Another 12 wins & 28 nominations.
Doomsday, 2008, 14 Mar 2008, English, 105, Neil Marshall, Neil Marshall, 6.0, R, tt0483607, 59039, Action  Sci-Fi  Thriller, N/A
Step Brothers, 2008, 25 Jul 2008, English, 98, Will Ferrell (screenplay)  Adam McKay (screenplay)  Will Ferrell (story)  Adam McKay (story)  John C. Reilly (story), Adam McKay, 6.9, R, tt0838283, 187960, Comedy, 4 wins & 1 nomination.
