The Silence of the Lambs, 1991, 14 Feb 1991, English, 118, Thomas Harris (novel)  Ted Tally (screenplay), Jonathan Demme, 8.6, R, tt0102926, 732247, Drama  Thriller, Won 5 Oscars. Another 51 wins & 30 nominations.
Terminator 2: Judgment Day, 1991, 3 Jul 1991, English, 137, James Cameron  William Wisher Jr., James Cameron, 8.5, R, tt0103064, 628378, Action  Sci-Fi, Won 4 Oscars. Another 20 wins & 21 nominations.
Beauty and the Beast, 1991, 22 Nov 1991, English, 84, Linda Woolverton (animation screenplay)  Roger Allers (story)  Brenda Chapman (story)  Burny Mattinson (story)  Brian Pimental (story)  Joe Ranft (story)  Kelly Asbury (story)  Chris Sanders (story)  Kevin Harkey (story)  Bruce Woodside (story)  Robert Lence (story), Gary Trousdale  Kirk Wise, 8.0, G, tt0101414, 258025, Animation  Family  Fantasy, Won 2 Oscars. Another 22 wins & 20 nominations.
The Addams Family, 1991, 22 Nov 1991, English, 99, Charles Addams (characters)  Caroline Thompson  Larry Wilson, Barry Sonnenfeld, 6.8, PG-13, tt0101272, 85392, Comedy  Fantasy, Nominated for 1 Oscar. Another 4 wins & 15 nominations.
Robin Hood: Prince of Thieves, 1991, 14 Jun 1991, English, 143, Pen Densham (story)  Pen Densham (screenplay)  John Watson (screenplay), Kevin Reynolds, 6.9, PG-13, tt0102798, 131957, Action  Adventure  Drama, Nominated for 1 Oscar. Another 15 wins & 17 nominations.
Hook, 1991, 11 Dec 1991, English, 142, J.M. Barrie (books)  J.M. Barrie (play)  James V. Hart (screen story)  Nick Castle (screen story)  James V. Hart (screenplay)  Malia Scotch Marmo (screenplay), Steven Spielberg, 6.6, PG, tt0102057, 161823, Adventure  Comedy  Family, Nominated for 5 Oscars. Another 5 wins & 12 nominations.
Point Break, 1991, 12 Jul 1991, English, 122, Rick King (story)  W. Peter Iliff (story)  W. Peter Iliff (screenplay), Kathryn Bigelow, 7.2, R, tt0102685, 92525, Action  Crime  Thriller, 1 win & 2 nominations.
Boyz n the Hood, 1991, 12 Jul 1991, English, 112, John Singleton, John Singleton, 7.8, R, tt0101507, 81924, Crime  Drama, Nominated for 2 Oscars. Another 10 wins & 11 nominations.
Thelma & Louise, 1991, 24 May 1991, English, 130, Callie Khouri, Ridley Scott, 7.4, R, tt0103074, 89065, Adventure  Crime  Drama, Won 1 Oscar. Another 21 wins & 30 nominations.
My Girl, 1991, 27 Nov 1991, English, 102, Laurice Elehwany, Howard Zieff, 6.8, PG-13, tt0102492, 50207, Drama  Family  Romance, 2 wins & 4 nominations.
Fried Green Tomatoes, 1991, 24 Jan 1992, English, 130, Fannie Flagg (novel)  Fannie Flagg (screenplay)  Carol Sobieski (screenplay), Jon Avnet, 7.6, PG-13, tt0101921, 46711, Drama  Comedy, Nominated for 2 Oscars. Another 6 wins & 8 nominations.
Cape Fear, 1991, 15 Nov 1991, English, 128, John D. MacDonald (novel)  James R. Webb (earlier screenplay)  Wesley Strick (screenplay), Martin Scorsese, 7.3, R, tt0101540, 114450, Crime  Thriller, Nominated for 2 Oscars. Another 7 wins & 11 nominations.
Rush, 1991, 17 Jan 1992, English, 120, Kim Wozencraft (book)  Peter Dexter (screenplay), Lili Fini Zanuck, 6.7, R, tt0102820, 5419, Crime  Drama, Nominated for 1 Golden Globe. Another 2 wins & 3 nominations.
The Man in the Moon, 1991, 4 Oct 1991, English, 99, Jenny Wingfield, Robert Mulligan, 7.4, PG-13, tt0102388, 10941, Drama  Romance, 3 nominations.
JFK, 1991, 20 Dec 1991, English, 189, Oliver Stone (screenplay)  Zachary Sklar (screenplay)  Jim Garrison (book)  Jim Marrs (book), Oliver Stone, 8.0, R, tt0102138, 104460, Drama  History  Thriller, Won 2 Oscars. Another 13 wins & 23 nominations.
Sleeping with the Enemy, 1991, 8 Feb 1991, English, 99, Nancy Price (novel)  Ronald Bass (screenplay), Joseph Ruben, 6.1, R, tt0102945, 32197, Crime  Drama  Thriller, 1 win & 4 nominations.
What About Bob?, 1991, 17 May 1991, English, 99, Alvin Sargent (story)  Laura Ziskin (story)  Tom Schulman (screenplay), Frank Oz, 7.0, PG, tt0103241, 45624, Comedy, 2 wins & 1 nomination.
The Rocketeer, 1991, 21 Jun 1991, English, 108, Dave Stevens (graphic novel "The Rocketeer")  Danny Bilson (story)  Paul De Meo (story)  William Dear (story)  Danny Bilson (screenplay)  Paul De Meo (screenplay), Joe Johnston, 6.4, PG, tt0102803, 40644, Action  Adventure  Family, 1 win & 5 nominations.
My Own Private Idaho, 1991, 29 Sep 1991, English, 104, William Shakespeare (play)  Gus Van Sant, Gus Van Sant, 7.1, R, tt0102494, 33044, Drama  Romance, 13 wins & 4 nominations.
