Mean Girls, 2004, 30 Apr 2004, English, 97, Rosalind Wiseman (book)  Tina Fey (screenplay), Mark Waters, 7.0, PG-13, tt0377092, 204051, Comedy, 7 wins & 19 nominations.
The Notebook, 2004, 25 Jun 2004, English, 123, Jeremy Leven (screenplay)  Jan Sardi (adaptation)  Nicholas Sparks (novel), Nick Cassavetes, 7.9, PG-13, tt0332280, 344586, Drama  Romance, 11 wins & 7 nominations.
Troy, 2004, 14 May 2004, English, 163, Homer (poem)  David Benioff (screenplay), Wolfgang Petersen, 7.2, R, tt0332452, 331069, Adventure, Nominated for 1 Oscar. Another 3 wins & 17 nominations.
The Punisher, 2004, 16 Apr 2004, English, 124, Jonathan Hensleigh  Michael France, Jonathan Hensleigh, 6.5, R, tt0330793, 111339, Action  Crime  Drama, 1 win & 5 nominations.
The Incredibles, 2004, 5 Nov 2004, English, 115, Brad Bird, Brad Bird, 8.0, PG, tt0317705, 404585, Animation  Action  Adventure, Won 2 Oscars. Another 59 wins & 47 nominations.
National Treasure, 2004, 19 Nov 2004, English, 131, Jim Kouf (screenplay)  Cormac Wibberley (screenplay)  Marianne Wibberley (screenplay)  Jim Kouf (story)  Oren Aviv (story)  Charles Segars (story), Jon Turteltaub, 6.9, PG, tt0368891, 229612, Action  Adventure  Mystery, 1 win & 8 nominations.
Eternal Sunshine of the Spotless Mind, 2004, 19 Mar 2004, English, 108, Charlie Kaufman (story)  Michel Gondry (story)  Pierre Bismuth (story)  Charlie Kaufman (screenplay), Michel Gondry, 8.4, R, tt0338013, 567723, Drama  Romance  Sci-Fi, Won 1 Oscar. Another 70 wins & 65 nominations.
Harry Potter and the Prisoner of Azkaban, 2004, 4 Jun 2004, English, 142, J.K. Rowling (novel)  Steve Kloves (screenplay), Alfonso Cuarón, 7.8, PG, tt0304141, 326731, Adventure  Family  Fantasy, Nominated for 2 Oscars. Another 14 wins & 39 nominations.
Spider-Man 2, 2004, 30 Jun 2004, English, 127, Stan Lee (comic book)  Steve Ditko (comic book)  Alfred Gough (screen story)  Miles Millar (screen story)  Michael Chabon (screen story)  Alvin Sargent (screenplay), Sam Raimi, 7.3, PG-13, tt0316654, 343206, Action  Adventure, Won 1 Oscar. Another 19 wins & 44 nominations.
The Machinist, 2004, 3 Dec 2004, English, 101, Scott Kosar, Brad Anderson, 7.7, R, tt0361862, 248649, Drama  Thriller, 10 wins & 10 nominations.
The Girl Next Door, 2004, 9 Apr 2004, English, 108, David Wagner (story)  Brent Goldberg (story)  Stuart Blumberg (screenplay)  David Wagner (screenplay)  Brent Goldberg (screenplay), Luke Greenfield, 6.8, R, tt0265208, 156378, Comedy  Drama  Romance, 4 nominations.
